Code,Name,Q3-1997,Q3-1998,Q3-1999,Q3-2000,Q3-2001,Q3-2002,Q3-2003,Q3-2004,Q3-2005,Q3-2006,Q3-2007,Q3-2008,Q3-2009,Q3-2010,Q3-2011,Q3-2012,Q3-2013,Q3-2014,Q3-2015,Q3-2016
K04000001,England and Wales,59950,64500,70000,78500,87950,104000,125000,145000,155950,164000,174000,175000,165000,178000,177000,180000,183000,190000,204000,215000
E92000001,England ,59995,65000,71000,79950,89950,106000,127000,147500,158000,165000,175000,177500,167000,180000,180000,181500,185000,195000,209500,220000
E12000001,North East,46500,47500,50000,52000,53500,59500,72000,91000,105000,117000,121000,121326,118000,124500,118500,119000,121000,125000,130500,131000
E12000002,North West,48500,50000,52500,55950,59950,67500,80000,100000,116000,125000,133500,132500,125000,131729,127500,129000,130000,137000,142500,147000
E12000003,Yorkshire and the Humber,48500,49950,52000,55000,59000,66950,82500,105000,118000,125000,134328,133500,126000,135000,130000,130000,132000,138500,143000,148000
E12000004,East Midlands,49950,53000,56000,60000,68000,79950,99950,122950,130500,135000,142950,142000,132000,140000,136900,137000,140000,148500,157000,165000
E12000005,West Midlands,54000,56000,59950,65425,73500,85000,103000,125000,133000,139995,146000,145000,139500,147463,144000,145000,148000,155000,161000,167500
E12000006,East of England,61995,67649,73950,84000,95150,118500,140000,159500,168950,175000,186750,190000,175000,189000,190000,190000,197000,210000,230000,250000
E12000007,London,83500,94950,111000,134000,150000,174000,195000,215000,228000,240000,250000,265000,250000,280000,292500,297500,315000,353000,390000,435000
E12000008,South East,72500,81000,89000,106950,123000,140000,165000,180000,190000,198950,215000,220000,200000,222500,224500,225000,234000,245000,265000,290000
E12000009,South West,59950,65000,71000,82000,93000,115000,139950,159000,169950,175000,187950,190000,175000,187000,185000,186500,189950,199000,212000,225000
W92000004,Wales,47000,49000,52000,56000,59950,67500,82500,108000,123950,130000,139000,138000,130000,135000,130000,133000,133448,138000,142500,147000
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
