Code,Name,1997,1998,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
K04000001,England and Wales,16885,17631,,17974,19000,19898,20562,21359,22284,23151,23564,24255,25373,25998,26076,26290,26633,27169,27321,27680,28336
E92000001,England ,16958,17709,,17939,19107,19997,20706,21500,22418,23280,23729,24480,25549,26133,26265,26488,26822,27372,27485,27841,28500
E12000001,North East,15622,15779,,16282,17430,17844,18076,18228,19247,20263,20613,21076,21931,22684,23124,23250,23781,24113,24904,25347,25589
E12000002,North West,16108,16588,,16977,17863,18567,19234,19916,20717,21777,22000,22889,23740,24020,24127,24167,24603,25111,25262,25667,26173
E12000003,Yorkshire and the Humber,15539,16368,,16527,17503,18270,18863,19659,20433,21506,21674,22307,23357,23891,23856,24119,24288,24933,24999,25194,25964
E12000004,East Midlands,15774,16280,,16392,17352,18291,19125,19847,20691,21494,21946,22222,23271,24357,24118,24002,24626,24918,25000,25003,25507
E12000005,West Midlands,15878,16718,,17000,17812,18756,19225,19786,20765,21447,22000,22543,23849,23958,23831,24291,24573,25328,24963,25682,26379
E12000006,East of England,16859,17584,,18000,19020,19978,20495,21511,22242,22883,23517,24061,24949,25500,25379,25953,26145,26514,26817,27300,27908
E12000007,London,20871,21863,,22487,24204,25215,26467,27455,28750,29882,30355,31484,32813,33700,33990,34396,34883,35173,35034,35303,36302
E12000008,South East,17375,18278,,18737,19992,20907,21940,22843,23748,24229,24798,25583,26778,27458,27503,27881,28175,28315,28607,29031,29731
E12000009,South West,15841,16426,,16727,17847,18465,19233,20000,20694,21279,21815,22665,23648,24175,24098,24306,24581,25242,25585,25950,26348
W92000004,Wales,15680,16118,,16457,17157,18018,18189,19130,20085,20634,20790,21105,21830,22800,23178,23397,23617,24103,24453,24869,25400
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
