Region code,Region name ,Local authority code,Local authority name,Q3-1997,Q3-1998,Q3-1999,Q3-2000,Q3-2001,Q3-2002,Q3-2003,Q3-2004,Q3-2005,Q3-2006,Q3-2007,Q3-2008,Q3-2009,Q3-2010,Q3-2011,Q3-2012,Q3-2013,Q3-2014,Q3-2015,Q3-2016
E12000001,North East,E06000047,County Durham,"42,000","43,000","45,500","48,000","47,500","50,000","59,950","79,995","94,000","105,000","106,000","110,000","101,525","110,000","100,000","100,000","105,000","110,000","110,000","110,000"
E12000001,North East,E06000005,Darlington,"46,950","50,000","50,000","52,000","55,000","58,973","71,000","95,000","112,000","113,500","121,000","122,500","120,000","125,000","120,000","122,000","119,995","124,950","131,000","133,000"
E12000001,North East,E06000001,Hartlepool,"41,500","44,125","46,000","47,500","47,500","53,000","54,950","54,950","60,000","86,000","100,000","109,950","100,000","112,500","105,950","102,500","116,000","117,000","124,375","116,500"
E12000001,North East,E06000002,Middlesbrough,"45,000","42,000","46,500","45,000","44,500","47,500","46,000","63,950","77,500","98,500","107,000","100,000","110,000","108,000","102,250","105,000","108,000","120,000","124,000","130,000"
E12000001,North East,E06000057,Northumberland,"52,000","54,000","58,000","59,950","62,000","69,000","84,950","107,000","119,999","132,975","137,000","143,148","134,000","145,000","137,525","137,000","137,000","145,000","155,000","155,000"
E12000001,North East,E06000003,Redcar and Cleveland,"45,000","45,950","45,000","49,000","52,000","56,000","69,950","86,125","100,000","115,000","123,000","120,000","115,000","119,950","112,000","115,000","116,500","122,500","125,000","129,995"
E12000001,North East,E06000004,Stockton-on-Tees,"49,850","49,995","52,500","55,500","58,995","65,000","80,000","100,000","115,000","123,900","132,500","132,000","125,000","130,000","125,000","125,000","127,500","133,000","135,000","134,950"
E12000001,North East,E08000037,Gateshead,"42,000","43,950","45,000","46,850","51,500","59,950","74,000","93,000","105,000","114,995","119,500","119,400","119,998","120,000","117,500","116,500","124,720","124,950","130,000","128,000"
E12000001,North East,E08000021,Newcastle upon Tyne,"49,000","52,000","56,275","58,500","63,000","75,000","95,000","125,000","125,475","140,000","143,000","145,000","135,000","140,000","135,000","131,000","137,500","141,000","150,000","154,995"
E12000001,North East,E08000022,North Tyneside,"50,675","52,500","55,000","55,950","57,000","60,000","82,500","110,000","120,000","128,000","131,500","130,000","127,500","142,000","132,000","132,500","137,500","143,555","155,000","152,000"
E12000001,North East,E08000023,South Tyneside,"45,000","44,650","46,950","48,000","48,950","51,000","63,375","85,000","96,000","105,000","115,000","115,000","111,000","117,250","106,975","106,000","113,270","119,995","130,000","130,000"
E12000001,North East,E08000024,Sunderland,"44,000","44,950","46,000","47,500","47,000","55,500","67,500","87,000","98,000","105,000","112,000","111,500","105,000","110,000","106,000","107,902","110,000","115,000","120,000","118,000"
E12000002,North West,E06000008,Blackburn with Darwen,"33,950","34,950","38,500","40,250","39,950","43,000","49,950","65,000","77,500","86,000","97,500","104,000","97,750","98,000","92,000","97,000","97,000","99,950","105,000","103,000"
E12000002,North West,E06000009,Blackpool,"40,500","43,000","44,000","46,000","48,000","55,000","67,950","87,500","104,500","113,000","118,000","117,000","100,000","105,000","99,000","95,000","94,250","99,500","100,000","105,000"
E12000002,North West,E06000049,Cheshire East,"66,000","68,000","73,000","78,000","86,950","100,000","125,000","146,375","158,000","163,000","169,950","175,000","162,750","174,950","170,000","172,000","173,000","184,250","192,000","199,995"
E12000002,North West,E06000050,Cheshire West and Chester,"59,500","62,000","67,000","74,500","82,500","92,950","110,000","137,500","149,525","155,000","161,000","164,000","155,000","163,500","156,000","158,000","165,000","170,000","182,000","184,900"
E12000002,North West,E06000006,Halton,"48,575","48,500","49,000","53,950","55,000","60,000","78,000","93,000","112,000","115,000","118,000","118,000","115,000","125,000","113,000","114,475","120,000","125,000","125,000","130,000"
E12000002,North West,E06000007,Warrington,"56,000","59,000","59,950","65,975","74,500","86,500","105,000","128,000","140,000","140,000","150,000","146,500","140,000","150,000","149,000","148,500","151,000","156,000","164,000","165,000"
E12000002,North West,E07000026,Allerdale,"47,500","49,450","53,000","54,000","59,950","65,000","76,000","92,000","110,000","130,000","143,000","137,000","134,000","144,000","133,000","135,000","143,500","146,000","148,000","140,000"
