Region name,Change in house price,Unemployment rate,Unemployment rate percentage
England,0.0834236186348862,0.06,6
England,0.0923076923076923,0.057,5.7
England,0.126056338028169,0.051,5.1
England,0.125078173858662,0.049,4.9
England,0.178432462479155,0.052,5.2
England,0.19811320754717,0.05,5
England,0.161417322834646,0.046,4.6
England,0.0711864406779661,0.047,4.7
England,0.0443037974683544,0.056,5.6
England,0.0606060606060606,0.054,5.4
England,0.0142857142857143,0.06,6
England,-0.0591549295774648,0.079,7.9
England,0.0778443113772455,0.077,7.7
England,0,0.084,8.4
England,0.00833333333333333,0.078,7.8
England,0.0192837465564738,0.077,7.7
England,0.0540540540540541,0.059,5.9
England,0.0743589743589744,0.052,5.2
England,0.0501193317422434,0.048,4.8
North East,0.021505376344086,0.085,8.5
North East,0.0526315789473684,0.098,9.8
North East,0.04,0.09,9
North East,0.0288461538461538,0.071,7.1
North East,0.11214953271028,0.063,6.3
North East,0.210084033613445,0.066,6.6
North East,0.263888888888889,0.059,5.9
North East,0.153846153846154,0.066,6.6
North East,0.114285714285714,0.067,6.7
North East,0.0341880341880342,0.062,6.2
North East,0.00269421487603306,0.081,8.1
North East,-0.0274137447867728,0.097,9.7
North East,0.0550847457627119,0.09,9
North East,-0.0481927710843374,0.118,11.8
North East,0.00421940928270042,0.097,9.7
North East,0.0168067226890756,0.101,10.1
North East,0.0330578512396694,0.092,9.2
North East,0.044,0.086,8.6
North East,0.00383141762452107,0.061,6.1
North West,0.0309278350515464,0.067,6.7
North West,0.05,0.062,6.2
North West,0.0657142857142857,0.054,5.4
North West,0.0714924039320822,0.052,5.2
North West,0.125938281901585,0.056,5.6
North West,0.185185185185185,0.05,5
North West,0.25,0.044,4.4
North West,0.16,0.044,4.4
North West,0.0775862068965517,0.055,5.5
North West,0.068,0.06,6
North West,-0.00749063670411985,0.068,6.8
North West,-0.0566037735849057,0.087,8.7
North West,0.053832,0.082,8.2
North West,-0.0321037888392078,0.086,8.6
North West,0.0117647058823529,0.085,8.5
North West,0.00775193798449612,0.083,8.3
North West,0.0538461538461538,0.062,6.2
North West,0.0401459854014599,0.054,5.4
North West,0.0315789473684211,0.053,5.3
Yorkshire and the Humber,0.0298969072164948,0.071,7.1
Yorkshire and the Humber,0.041041041041041,0.059,5.9
Yorkshire and the Humber,0.0576923076923077,0.059,5.9
Yorkshire and the Humber,0.0727272727272727,0.053,5.3
Yorkshire and the Humber,0.134745762711864,0.055,5.5
Yorkshire and the Humber,0.23226288274832,0.048,4.8
Yorkshire and the Humber,0.272727272727273,0.045,4.5
Yorkshire and the Humber,0.123809523809524,0.045,4.5
Yorkshire and the Humber,0.0593220338983051,0.059,5.9
Yorkshire and the Humber,0.074624,0.053,5.3
Yorkshire and the Humber,-0.00616401643737717,0.068,6.8
Yorkshire and the Humber,-0.0561797752808989,0.086,8.6
Yorkshire and the Humber,0.0714285714285714,0.089,8.9
Yorkshire and the Humber,-0.037037037037037,0.1,10
Yorkshire and the Humber,0,0.088,8.8
Yorkshire and the Humber,0.0153846153846154,0.088,8.8
Yorkshire and the Humber,0.0492424242424242,0.072,7.2
Yorkshire and the Humber,0.0324909747292419,0.059,5.9
Yorkshire and the Humber,0.034965034965035,0.056,5.6
East Midlands,0.0610610610610611,0.053,5.3
East Midlands,0.0566037735849057,0.056,5.6
East Midlands,0.0714285714285714,0.048,4.8
East Midlands,0.133333333333333,0.046,4.6
East Midlands,0.175735294117647,0.047,4.7
East Midlands,0.250156347717323,0.046,4.6
East Midlands,0.230115057528764,0.041,4.1
East Midlands,0.0614070760471736,0.044,4.4
East Midlands,0.0344827586206897,0.052,5.2
East Midlands,0.0588888888888889,0.056,5.6
East Midlands,-0.00664568030779993,0.057,5.7
East Midlands,-0.0704225352112676,0.072,7.2
East Midlands,0.0606060606060606,0.08,8
East Midlands,-0.0221428571428571,0.081,8.1
East Midlands,0.000730460189919649,0.078,7.8
East Midlands,0.0218978102189781,0.071,7.1
East Midlands,0.0607142857142857,0.057,5.7
East Midlands,0.0572390572390572,0.044,4.4
East Midlands,0.0509554140127389,0.045,4.5
West Midlands,0.037037037037037,0.061,6.1
West Midlands,0.0705357142857143,0.064,6.4
West Midlands,0.091326105087573,0.057,5.7
West Midlands,0.123423767672908,0.054,5.4
West Midlands,0.156462585034014,0.059,5.9
West Midlands,0.211764705882353,0.059,5.9
West Midlands,0.213592233009709,0.05,5
West Midlands,0.064,0.047,4.7
West Midlands,0.052593984962406,0.061,6.1
West Midlands,0.0428943890853245,0.064,6.4
West Midlands,-0.00684931506849315,0.066,6.6
West Midlands,-0.0379310344827586,0.1,10
West Midlands,0.057078853046595,0.089,8.9
West Midlands,-0.0234805459015004,0.09,9
West Midlands,0.00694444444444444,0.085,8.5
West Midlands,0.0206896551724138,0.093,9.3
West Midlands,0.0472972972972973,0.071,7.1
West Midlands,0.0387096774193548,0.057,5.7
West Midlands,0.0403726708074534,0.052,5.2
East,0.0911928381321074,0.045,4.5
East,0.0931506241823544,0.039,3.9
East,0.135902636916836,0.037,3.7
East,0.132738095238095,0.039,3.9
East,0.245401996847084,0.039,3.9
East,0.181434599156118,0.039,3.9
East,0.139285714285714,0.035,3.5
East,0.0592476489028213,0.039,3.9
East,0.0358094110683634,0.047,4.7
East,0.0671428571428571,0.05,5
East,0.0174029451137885,0.048,4.8
East,-0.0789473684210526,0.063,6.3
East,0.08,0.065,6.5
East,0.00529100529100529,0.07,7
East,0,0.07,7
East,0.0368421052631579,0.058,5.8
East,0.065989847715736,0.05,5
East,0.0952380952380952,0.042,4.2
East,0.0869565217391304,0.043,4.3
London,0.137125748502994,0.079,7.9
London,0.169036334913112,0.074,7.4
London,0.207207207207207,0.069,6.9
London,0.119402985074627,0.066,6.6
London,0.16,0.071,7.1
London,0.120689655172414,0.072,7.2
London,0.102564102564103,0.073,7.3
London,0.0604651162790698,0.067,6.7
London,0.0526315789473684,0.08,8
London,0.0416666666666667,0.062,6.2
London,0.06,0.075,7.5
London,-0.0566037735849057,0.092,9.2
London,0.12,0.092,9.2
London,0.0446428571428571,0.101,10.1
London,0.0170940170940171,0.09,9
London,0.0588235294117647,0.089,8.9
London,0.120634920634921,0.062,6.2
London,0.104815864022663,0.064,6.4
London,0.115384615384615,0.056,5.6
South East,0.117241379310345,0.045,4.5
South East,0.0987654320987654,0.039,3.9
South East,0.201685393258427,0.031,3.1
South East,0.150070126227209,0.034,3.4
South East,0.138211382113821,0.04,4
South East,0.178571428571429,0.039,3.9
South East,0.0909090909090909,0.037,3.7
South East,0.0555555555555556,0.04,4
South East,0.0471052631578947,0.045,4.5
South East,0.0806735360643378,0.045,4.5
South East,0.0232558139534884,0.046,4.6
South East,-0.0909090909090909,0.061,6.1
South East,0.1125,0.062,6.2
South East,0.00898876404494382,0.063,6.3
South East,0.0022271714922049,0.065,6.5
South East,0.04,0.059,5.9
South East,0.047008547008547,0.046,4.6
South East,0.0816326530612245,0.039,3.9
South East,0.0943396226415094,0.036,3.6
South West,0.0842368640533778,0.049,4.9
South West,0.0923076923076923,0.043,4.3
South West,0.154929577464789,0.04,4
South West,0.134146341463415,0.036,3.6
South West,0.236559139784946,0.04,4
South West,0.21695652173913,0.032,3.2
South West,0.136120042872454,0.032,3.2
South West,0.0688679245283019,0.036,3.6
South West,0.0297146219476317,0.037,3.7
South West,0.074,0.039,3.9
South West,0.0109071561585528,0.042,4.2
South West,-0.0789473684210526,0.065,6.5
South West,0.0685714285714286,0.054,5.4
South West,-0.0106951871657754,0.066,6.6
South West,0.00810810810810811,0.057,5.7
South West,0.0184986595174263,0.063,6.3
South West,0.0476441168728613,0.047,4.7
South West,0.0653266331658292,0.039,3.9
South West,0.0613207547169811,0.039,3.9
