Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
England ,6.6,6,5.7,5.1,4.9,5.2,5,4.6,4.7,5.6,5.4,6,7.9,7.7,8.4,7.8,7.7,5.9,5.2,4.8
North East ,8.9,8.5,9.8,9,7.1,6.3,6.6,5.9,6.6,6.7,6.2,8.1,9.7,9,11.8,9.7,10.1,9.2,8.6,6.1
North West ,7.2,6.7,6.2,5.4,5.2,5.6,5,4.4,4.4,5.5,6,6.8,8.7,8.2,8.6,8.5,8.3,6.2,5.4,5.3
Yorkshire and the Humber ,7.3,7.1,5.9,5.9,5.3,5.5,4.8,4.5,4.5,5.9,5.3,6.8,8.6,8.9,10,8.8,8.8,7.2,5.9,5.6
East Midlands ,5,5.3,5.6,4.8,4.6,4.7,4.6,4.1,4.4,5.2,5.6,5.7,7.2,8,8.1,7.8,7.1,5.7,4.4,4.5
West Midlands ,7.3,6.1,6.4,5.7,5.4,5.9,5.9,5,4.7,6.1,6.4,6.6,10,8.9,9,8.5,9.3,7.1,5.7,5.2
East ,5.5,4.5,3.9,3.7,3.9,3.9,3.9,3.5,3.9,4.7,5,4.8,6.3,6.5,7,7,5.8,5,4.2,4.3
London ,9.3,7.9,7.4,6.9,6.6,7.1,7.2,7.3,6.7,8,6.2,7.5,9.2,9.2,10.1,9,8.9,6.2,6.4,5.6
South East ,4.8,4.5,3.9,3.1,3.4,4,3.9,3.7,4,4.5,4.5,4.6,6.1,6.2,6.3,6.5,5.9,4.6,3.9,3.6
South West ,5.1,4.9,4.3,4,3.6,4,3.2,3.2,3.6,3.7,3.9,4.2,6.5,5.4,6.6,5.7,6.3,4.7,3.9,3.9
Wales ,7.4,7.5,7.2,6.7,5.5,5.2,4.7,4.9,4.6,5.3,5.1,6.5,8.7,8,9.3,8.2,7.7,6.6,6,4.4
